富裕,富有
透出,显露出
简洁,简约
布局,规划
浅色,淡色
缤纷,绚丽
优异,优良
舒适,温馨
怀旧,复古
造型,外型
免费使用,无偿使用
防范,防备
烧灼,炙烤
僵硬,生硬
更加,愈加
惊动,惊扰
凉飕飕,冷冰冰
镇定自若,不慌不忙
享誉中外,尽人皆知
经营,运营
悲惨,凄惨
故土,故乡
眼帘,视线
忍受,忍耐
探访,看望
一直,不断
蔚蓝,湛蓝
惟一,唯一
含蓄,委婉
异彩纷呈,奇光异彩
妙不可言,妙趣横生
简朴,俭朴
水天相接,水天一线
时尚,时髦
麻木,麻痹
怜爱,爱怜
冷艳,冷傲
勤能补拙,功在不舍
联结,联合
柔嫩,娇嫩
磨难,磨练
万古长青,万古长存
狞笑,奸笑
变幻无穷,千变万化
受益无穷,获益良多
环游,周游
乱哄哄,乱糟糟
品质,质量
节奏,节拍
气节,时令
轮流,轮番
炽热,火热
相熟,熟悉
姿态,姿势
撕开,扯开
宽恕,饶恕
羞辱,侮辱
看望,探望
泼洒,倾泻
巴不得,恨不得
幽美,幽丽
缄口不语,闭口不言
微波粼粼,微波荡漾
饶恕,宽恕
凛冽,寒冷
葱茏,葱翠
与日俱增,日积月累
纠缠不清,牵扯不清
一成不变,原封不动
巡逻,巡查
惊艳,冷艳
明媚,明丽
传授,教授
奥秘,奥妙
如许,多么
心田,内心
童稚,幼稚
唾骂,辱骂
坦然,安然
顿时,登时
落荒而逃,一败涂地
争执,争论
迥异,悬殊
连绵起伏,绵亘不绝
一一,逐个
亲自,亲身
遥不可及,高不可攀
帮助,协助
愕然,惊诧
到处,四处
掠过,擦过
哽咽,呜咽
干预,干涉
逗引,逗弄
受到,遭到
鱼死网破,你死我活
不卑不亢,不骄不躁
耽误,耽搁
前所未有,史无前例
摇摇摆摆,摇摇晃晃
颓然,寂然
开拓,开辟
品位,档次
设施,设备
气馁,泄气
晃荡,闲逛
浓烈,浓郁
清脆,洪亮
素来,从来
证实,证明
操劳,劳累
龙飞凤舞,挥洒自如
迷人,诱人
枯竭,干涸
清爽,清新
奔流,奔腾
沉积,堆积
如同,好像
首次,初次
结结巴巴,吞吞吐吐
不厌其烦,诲人不倦
偏远,偏僻
收容,收留
柔美,优美
费解,隐晦
迷迷糊糊,恍恍惚惚
荡涤,清洗
陷阱,圈套
消退,衰退
即使,即便
奇观,奇迹
泄气,气馁
凋零,凋谢
是否,能否
丰硕,丰盛
形成,构成
疑惑不解,迷惑不解
阴谋诡计,诡计多端
收藏,珍藏
模摸糊糊,隐隐约约
繁殖,繁衍
新生,重生
穿梭,穿越
挥汗如雨,汗流浃背
幸好,幸亏
密密层层,密密丛丛
残害,摧残
火冒三丈,怒气冲冲
宏论,弘论
夸赞,夸奖
苍白,惨白
错落,参差
趔趔趄趄,跌跌撞撞
隐隐约约,模模糊糊
撤退,撤离
交易,买卖
若有若无,若隐若现
走马观花,蜻蜓点水
资助,赞助
奇迹,奇观
形容,描述
坚定不移,坚持不懈
冷酷,冷漠
淳朴,憨厚
宛转,含蓄
气息,气味
嗔怪,责怪
失去,得到
澎湃,磅礴
静悄悄,闹哄哄
招集,召集
蹩脚,糟糕
取长补短,扬长避短
幽深,幽静
酸甜苦辣,悲欢离合
巧夺天工,鬼斧神工
主持,掌管
鲜为人知,不为人知
觅食,寻食
跳跃,腾跃
热门,抢手
俯冲,爬升
红艳艳,红彤彤
沾花惹草,招蜂引蝶
因此,因而
用意,意图
辍学,停学
壮士,勇士
枯败,枯萎
受益匪浅,收获颇丰
超常,超凡
真挚,真诚
绽开,绽放
停泊,停靠
爆发,迸发
人才济济,人才辈出
仰面朝天,四脚朝天
沉甸甸,轻飘飘
沉迷,沉浸
相持,对峙
解决,处理
刨根问底,寻根究底
枯枝败叶,残花败柳
窘迫,困顿
终日,整天
形状,外形
粘稠,稀薄
尽管,虽然
形态各异,形态万千
水泄不通,风雨不透
乐滋滋,气呼呼
褴褛,破烂
困顿,窘迫
轰动,惊动
一拥而上,蜂拥而至
胆小,胆怯
调节,调理
赤裸裸,光秃秃
拥挤,拥堵
挑逗,撩拨
豪华,奢华
只要,只需
虚实,真假
追寻,追随
微微,轻轻
纤弱,柔弱
饲养,豢养
回报,报答
糟糕,蹩脚
吃力,费劲
金枝玉叶,皇亲国戚
调换,互换
名闻遐迩,名噪一时
精通,通晓
清苦,贫苦
自在,自由
热乎乎,暖洋洋
困境,窘境
艰辛,艰苦
黑压压,黑漆漆
坚信,深信
考察,调查
宏伟,雄伟
阴郁,阴霾
酬谢,酬报
葱绿,翠绿
申诉,申述
窘境,困境
排列,陈列
失魂落魄,魂不守舍
五光十色,五颜六色
弱肉强食,以强凌弱
密密麻麻,密密层层
笔直粗壮,挺拔伟岸
危峰兀立,怪石嶙峋
哄堂大笑,捧腹大笑
相似,类似
逆悖,悖逆
新闻,旧事
遐想,遥想
缓缓,慢慢
散发,分发
迷惑不解,困惑不解
完整无缺,完好无损
介绍,引见
敦实,矮壮
结结实实,严严实实
庆贺,庆祝
透明,通明
机敏,机警
重大,严重
波澜,波涛
硕大无朋,庞然大物
预计,估计
娇嫩,柔嫩
催促,敦促
悲叹,哀叹
欢快,愉快
座无虚席,济济一堂
凭借,凭仗
天堑,通途
美妙,美好
时刻,时辰
隆重,盛大
模样,容貌
精湛,精深
冷酷无情,无情无义
顽劣,恶劣
感召,感化
逆境,顺境
眺望,瞭望
释然,豁然
高耸,挺拔
困窘,穷困
小巧,玲珑
量力而行,量入为出
逐渐,逐步
无奈,无法
指摘,指责
劫掠,虏掠
修长,细长
不禁,不由
灰溜溜,兴冲冲
形象,抽象
触犯,冒犯
辜负,孤负
斥责,呵斥
事实,现实
空旷,空阔
聆听,倾听
始终,一直
提醒,提示
制作,制造
造成,形成
严严实实,结结实实
驰名中外,举世闻名
赞叹,赞赏
形形色色,五花八门
起伏,崎岖
如实,照实
泛滥,众多
感谢,感激
怨恨,仇恨
酣睡,熟睡
自豪,骄傲
无端,无故
衰草连天,衰草如烟
周而复始,循环往复
呻吟,嗟叹
玲珑,小巧
弥漫,洋溢
发愁,忧愁
环视,环顾
匹配,婚配
模拟,模仿
慢吞吞,慢悠悠
深造,进修
本能,天性
轻轻,悄悄
踊跃,积极
象征,意味
行踪,行迹
返回,前往
滋润,滋养
郁郁葱葱,生气勃勃
纳闷,疑惑
欢呼,喝彩
偏僻,偏远
犬牙交错,纵横交错
不迭,不及
故障,毛病
孤独,孤单
腾云驾雾,腾云跨风
兴冲冲,灰溜溜
